,Date,Time,Temperature,Weather,Wind Speed,Wind Direction,Humidity,Barometer,Visibility
812,2024-02-05,7:00,27 °C,Passing clouds.,9 km/h,Wind blowing from 310° Northwest to Southeast,74%,1015 mbar,
811,2024-02-05,6:00,28 °C,Clear.,7 km/h,Wind blowing from 330° North-northwest to South-southeast,79%,1015 mbar,16 km
810,2024-02-05,5:00,28 °C,Clear.,6 km/h,Wind blowing from 300° West-northwest to East-southeast,84%,1014 mbar,16 km
809,2024-02-05,4:00,28 °C,Clear.,2 km/h,Wind blowing from 0° North to South,74%,1014 mbar,16 km
808,2024-02-05,3:00,29 °C,Clear.,4 km/h,Wind blowing from 0° North to South,74%,1014 mbar,16 km
807,2024-02-05,2:00,29 °C,Clear.,4 km/h,Wind blowing from 0° North to South,70%,1014 mbar,16 km
806,2024-02-05,1:00,29 °C,Clear.,4 km/h,Wind blowing from 70° East-northeast to West-southwest,66%,1014 mbar,16 km
816,2024-02-05,11:00,32 °C,Passing clouds.,13 km/h,Wind blowing from 350° North to South,63%,1016 mbar,
842,2024-02-06,14:00,33 °C,Passing clouds.,13 km/h,Wind blowing from 30° North-northeast to South-southwest,63%,1016 mbar,
843,2024-02-06,15:00,33 °C,Passing clouds.,15 km/h,Wind blowing from 30° North-northeast to South-southwest,63%,1015 mbar,
844,2024-02-06,16:00,34 °C,Passing clouds.,13 km/h,Wind blowing from 30° North-northeast to South-southwest,53%,1015 mbar,
845,2024-02-06,17:00,34 °C,Passing clouds.,11 km/h,Wind blowing from 40° Northeast to Southwest,49%,1014 mbar,
841,2024-02-06,13:00,32 °C,Passing clouds.,13 km/h,Wind blowing from 30° North-northeast to South-southwest,67%,1016 mbar,
847,2024-02-06,19:00,33 °C,Passing clouds.,20 km/h,Wind blowing from 90° East to West,46%,1015 mbar,
848,2024-02-06,20:00,31 °C,Clear.,20 km/h,Wind blowing from 100° East to West,62%,1015 mbar,16 km
849,2024-02-06,22:00,30 °C,Clear.,24 km/h,Wind blowing from 110° East-southeast to West-northwest,66%,1016 mbar,16 km
850,2024-02-06,23:00,29 °C,Clear.,20 km/h,Wind blowing from 100° East to West,74%,1016 mbar,16 km
846,2024-02-06,18:00,33 °C,Passing clouds.,13 km/h,Wind blowing from 70° East-northeast to West-southwest,52%,1014 mbar,
840,2024-02-06,12:00,32 °C,Passing clouds.,13 km/h,Wind blowing from 10° North to South,59%,1016 mbar,
828,2024-02-06,"0:00jue, 1 de feb",29 °C,Clear.,4 km/h,Wind blowing from 0° North to South,66%,1014 mbar,16 km
838,2024-02-06,10:00,30 °C,Passing clouds.,11 km/h,Wind blowing from 350° North to South,66%,1016 mbar,
837,2024-02-06,9:00,30 °C,Passing clouds.,11 km/h,Wind blowing from 350° North to South,62%,1016 mbar,
836,2024-02-06,8:00,29 °C,Passing clouds.,7 km/h,Wind blowing from 330° North-northwest to South-southeast,62%,1016 mbar,
835,2024-02-06,7:00,27 °C,Passing clouds.,9 km/h,Wind blowing from 310° Northwest to Southeast,74%,1015 mbar,
834,2024-02-06,6:00,28 °C,Clear.,7 km/h,Wind blowing from 330° North-northwest to South-southeast,79%,1015 mbar,16 km
833,2024-02-06,5:00,28 °C,Clear.,6 km/h,Wind blowing from 300° West-northwest to East-southeast,84%,1014 mbar,16 km
832,2024-02-06,4:00,28 °C,Clear.,2 km/h,Wind blowing from 0° North to South,74%,1014 mbar,16 km
831,2024-02-06,3:00,29 °C,Clear.,4 km/h,Wind blowing from 0° North to South,74%,1014 mbar,16 km
830,2024-02-06,2:00,29 °C,Clear.,4 km/h,Wind blowing from 0° North to South,70%,1014 mbar,16 km
829,2024-02-06,1:00,29 °C,Clear.,4 km/h,Wind blowing from 70° East-northeast to West-southwest,66%,1014 mbar,16 km
839,2024-02-06,11:00,32 °C,Passing clouds.,13 km/h,Wind blowing from 350° North to South,63%,1016 mbar,
864,2024-02-07,13:00,32 °C,Passing clouds.,13 km/h,Wind blowing from 30° North-northeast to South-southwest,67%,1016 mbar,
865,2024-02-07,14:00,33 °C,Passing clouds.,13 km/h,Wind blowing from 30° North-northeast to South-southwest,63%,1016 mbar,
866,2024-02-07,15:00,33 °C,Passing clouds.,15 km/h,Wind blowing from 30° North-northeast to South-southwest,63%,1015 mbar,
867,2024-02-07,16:00,34 °C,Passing clouds.,13 km/h,Wind blowing from 30° North-northeast to South-southwest,53%,1015 mbar,
873,2024-02-07,23:00,29 °C,Clear.,20 km/h,Wind blowing from 100° East to West,74%,1016 mbar,16 km
869,2024-02-07,18:00,33 °C,Passing clouds.,13 km/h,Wind blowing from 70° East-northeast to West-southwest,52%,1014 mbar,
870,2024-02-07,19:00,33 °C,Passing clouds.,20 km/h,Wind blowing from 90° East to West,46%,1015 mbar,
871,2024-02-07,20:00,31 °C,Clear.,20 km/h,Wind blowing from 100° East to West,62%,1015 mbar,16 km
872,2024-02-07,22:00,30 °C,Clear.,24 km/h,Wind blowing from 110° East-southeast to West-northwest,66%,1016 mbar,16 km
868,2024-02-07,17:00,34 °C,Passing clouds.,11 km/h,Wind blowing from 40° Northeast to Southwest,49%,1014 mbar,
863,2024-02-07,12:00,32 °C,Passing clouds.,13 km/h,Wind blowing from 10° North to South,59%,1016 mbar,
862,2024-02-07,11:00,32 °C,Passing clouds.,13 km/h,Wind blowing from 350° North to South,63%,1016 mbar,
860,2024-02-07,9:00,30 °C,Passing clouds.,11 km/h,Wind blowing from 350° North to South,62%,1016 mbar,
851,2024-02-07,"0:00jue, 1 de feb",29 °C,Clear.,4 km/h,Wind blowing from 0° North to South,66%,1014 mbar,16 km
852,2024-02-07,1:00,29 °C,Clear.,4 km/h,Wind blowing from 70° East-northeast to West-southwest,66%,1014 mbar,16 km
853,2024-02-07,2:00,29 °C,Clear.,4 km/h,Wind blowing from 0° North to South,70%,1014 mbar,16 km
854,2024-02-07,3:00,29 °C,Clear.,4 km/h,Wind blowing from 0° North to South,74%,1014 mbar,16 km
861,2024-02-07,10:00,30 °C,Passing clouds.,11 km/h,Wind blowing from 350° North to South,66%,1016 mbar,
856,2024-02-07,5:00,28 °C,Clear.,6 km/h,Wind blowing from 300° West-northwest to East-southeast,84%,1014 mbar,16 km
857,2024-02-07,6:00,28 °C,Clear.,7 km/h,Wind blowing from 330° North-northwest to South-southeast,79%,1015 mbar,16 km
858,2024-02-07,7:00,27 °C,Passing clouds.,9 km/h,Wind blowing from 310° Northwest to Southeast,74%,1015 mbar,
859,2024-02-07,8:00,29 °C,Passing clouds.,7 km/h,Wind blowing from 330° North-northwest to South-southeast,62%,1016 mbar,
855,2024-02-07,4:00,28 °C,Clear.,2 km/h,Wind blowing from 0° North to South,74%,1014 mbar,16 km
896,2024-02-08,23:00,29 °C,Clear.,20 km/h,Wind blowing from 100° East to West,74%,1016 mbar,16 km
895,2024-02-08,22:00,30 °C,Clear.,24 km/h,Wind blowing from 110° East-southeast to West-northwest,66%,1016 mbar,16 km
894,2024-02-08,20:00,31 °C,Clear.,20 km/h,Wind blowing from 100° East to West,62%,1015 mbar,16 km
893,2024-02-08,19:00,33 °C,Passing clouds.,20 km/h,Wind blowing from 90° East to West,46%,1015 mbar,
892,2024-02-08,18:00,33 °C,Passing clouds.,13 km/h,Wind blowing from 70° East-northeast to West-southwest,52%,1014 mbar,
891,2024-02-08,17:00,34 °C,Passing clouds.,11 km/h,Wind blowing from 40° Northeast to Southwest,49%,1014 mbar,
890,2024-02-08,16:00,34 °C,Passing clouds.,13 km/h,Wind blowing from 30° North-northeast to South-southwest,53%,1015 mbar,
888,2024-02-08,14:00,33 °C,Passing clouds.,13 km/h,Wind blowing from 30° North-northeast to South-southwest,63%,1016 mbar,
887,2024-02-08,13:00,32 °C,Passing clouds.,13 km/h,Wind blowing from 30° North-northeast to South-southwest,67%,1016 mbar,
886,2024-02-08,12:00,32 °C,Passing clouds.,13 km/h,Wind blowing from 10° North to South,59%,1016 mbar,
889,2024-02-08,15:00,33 °C,Passing clouds.,15 km/h,Wind blowing from 30° North-northeast to South-southwest,63%,1015 mbar,
884,2024-02-08,10:00,30 °C,Passing clouds.,11 km/h,Wind blowing from 350° North to South,66%,1016 mbar,
885,2024-02-08,11:00,32 °C,Passing clouds.,13 km/h,Wind blowing from 350° North to South,63%,1016 mbar,
875,2024-02-08,1:00,29 °C,Clear.,4 km/h,Wind blowing from 70° East-northeast to West-southwest,66%,1014 mbar,16 km
876,2024-02-08,2:00,29 °C,Clear.,4 km/h,Wind blowing from 0° North to South,70%,1014 mbar,16 km
877,2024-02-08,3:00,29 °C,Clear.,4 km/h,Wind blowing from 0° North to South,74%,1014 mbar,16 km
878,2024-02-08,4:00,28 °C,Clear.,2 km/h,Wind blowing from 0° North to South,74%,1014 mbar,16 km
874,2024-02-08,"0:00jue, 1 de feb",29 °C,Clear.,4 km/h,Wind blowing from 0° North to South,66%,1014 mbar,16 km
880,2024-02-08,6:00,28 °C,Clear.,7 km/h,Wind blowing from 330° North-northwest to South-southeast,79%,1015 mbar,16 km
881,2024-02-08,7:00,27 °C,Passing clouds.,9 km/h,Wind blowing from 310° Northwest to Southeast,74%,1015 mbar,
882,2024-02-08,8:00,29 °C,Passing clouds.,7 km/h,Wind blowing from 330° North-northwest to South-southeast,62%,1016 mbar,
883,2024-02-08,9:00,30 °C,Passing clouds.,11 km/h,Wind blowing from 350° North to South,62%,1016 mbar,
879,2024-02-08,5:00,28 °C,Clear.,6 km/h,Wind blowing from 300° West-northwest to East-southeast,84%,1014 mbar,16 km
910,2024-02-09,13:00,32 °C,Passing clouds.,13 km/h,Wind blowing from 30° North-northeast to South-southwest,67%,1016 mbar,
919,2024-02-09,23:00,29 °C,Clear.,20 km/h,Wind blowing from 100° East to West,74%,1016 mbar,16 km
918,2024-02-09,22:00,30 °C,Clear.,24 km/h,Wind blowing from 110° East-southeast to West-northwest,66%,1016 mbar,16 km
917,2024-02-09,20:00,31 °C,Clear.,20 km/h,Wind blowing from 100° East to West,62%,1015 mbar,16 km
916,2024-02-09,19:00,33 °C,Passing clouds.,20 km/h,Wind blowing from 90° East to West,46%,1015 mbar,
915,2024-02-09,18:00,33 °C,Passing clouds.,13 km/h,Wind blowing from 70° East-northeast to West-southwest,52%,1014 mbar,
914,2024-02-09,17:00,34 °C,Passing clouds.,11 km/h,Wind blowing from 40° Northeast to Southwest,49%,1014 mbar,
913,2024-02-09,16:00,34 °C,Passing clouds.,13 km/h,Wind blowing from 30° North-northeast to South-southwest,53%,1015 mbar,
912,2024-02-09,15:00,33 °C,Passing clouds.,15 km/h,Wind blowing from 30° North-northeast to South-southwest,63%,1015 mbar,
911,2024-02-09,14:00,33 °C,Passing clouds.,13 km/h,Wind blowing from 30° North-northeast to South-southwest,63%,1016 mbar,
909,2024-02-09,12:00,32 °C,Passing clouds.,13 km/h,Wind blowing from 10° North to South,59%,1016 mbar,
900,2024-02-09,3:00,29 °C,Clear.,4 km/h,Wind blowing from 0° North to South,74%,1014 mbar,16 km
907,2024-02-09,10:00,30 °C,Passing clouds.,11 km/h,Wind blowing from 350° North to South,66%,1016 mbar,
906,2024-02-09,9:00,30 °C,Passing clouds.,11 km/h,Wind blowing from 350° North to South,62%,1016 mbar,
905,2024-02-09,8:00,29 °C,Passing clouds.,7 km/h,Wind blowing from 330° North-northwest to South-southeast,62%,1016 mbar,
904,2024-02-09,7:00,27 °C,Passing clouds.,9 km/h,Wind blowing from 310° Northwest to Southeast,74%,1015 mbar,
903,2024-02-09,6:00,28 °C,Clear.,7 km/h,Wind blowing from 330° North-northwest to South-southeast,79%,1015 mbar,16 km
902,2024-02-09,5:00,28 °C,Clear.,6 km/h,Wind blowing from 300° West-northwest to East-southeast,84%,1014 mbar,16 km
901,2024-02-09,4:00,28 °C,Clear.,2 km/h,Wind blowing from 0° North to South,74%,1014 mbar,16 km
899,2024-02-09,2:00,29 °C,Clear.,4 km/h,Wind blowing from 0° North to South,70%,1014 mbar,16 km
898,2024-02-09,1:00,29 °C,Clear.,4 km/h,Wind blowing from 70° East-northeast to West-southwest,66%,1014 mbar,16 km
908,2024-02-09,11:00,32 °C,Passing clouds.,13 km/h,Wind blowing from 350° North to South,63%,1016 mbar,
897,2024-02-09,"0:00jue, 1 de feb",29 °C,Clear.,4 km/h,Wind blowing from 0° North to South,66%,1014 mbar,16 km
934,2024-02-10,14:00,33 °C,Passing clouds.,13 km/h,Wind blowing from 30° North-northeast to South-southwest,63%,1016 mbar,
936,2024-02-10,16:00,34 °C,Passing clouds.,13 km/h,Wind blowing from 30° North-northeast to South-southwest,53%,1015 mbar,
937,2024-02-10,17:00,34 °C,Passing clouds.,11 km/h,Wind blowing from 40° Northeast to Southwest,49%,1014 mbar,
942,2024-02-10,23:00,29 °C,Clear.,20 km/h,Wind blowing from 100° East to West,74%,1016 mbar,16 km
939,2024-02-10,19:00,33 °C,Passing clouds.,20 km/h,Wind blowing from 90° East to West,46%,1015 mbar,
940,2024-02-10,20:00,31 °C,Clear.,20 km/h,Wind blowing from 100° East to West,62%,1015 mbar,16 km
941,2024-02-10,22:00,30 °C,Clear.,24 km/h,Wind blowing from 110° East-southeast to West-northwest,66%,1016 mbar,16 km
933,2024-02-10,13:00,32 °C,Passing clouds.,13 km/h,Wind blowing from 30° North-northeast to South-southwest,67%,1016 mbar,
938,2024-02-10,18:00,33 °C,Passing clouds.,13 km/h,Wind blowing from 70° East-northeast to West-southwest,52%,1014 mbar,
931,2024-02-10,11:00,32 °C,Passing clouds.,13 km/h,Wind blowing from 350° North to South,63%,1016 mbar,
935,2024-02-10,15:00,33 °C,Passing clouds.,15 km/h,Wind blowing from 30° North-northeast to South-southwest,63%,1015 mbar,
932,2024-02-10,12:00,32 °C,Passing clouds.,13 km/h,Wind blowing from 10° North to South,59%,1016 mbar,
920,2024-02-10,"0:00jue, 1 de feb",29 °C,Clear.,4 km/h,Wind blowing from 0° North to South,66%,1014 mbar,16 km
921,2024-02-10,1:00,29 °C,Clear.,4 km/h,Wind blowing from 70° East-northeast to West-southwest,66%,1014 mbar,16 km
922,2024-02-10,2:00,29 °C,Clear.,4 km/h,Wind blowing from 0° North to South,70%,1014 mbar,16 km
923,2024-02-10,3:00,29 °C,Clear.,4 km/h,Wind blowing from 0° North to South,74%,1014 mbar,16 km
924,2024-02-10,4:00,28 °C,Clear.,2 km/h,Wind blowing from 0° North to South,74%,1014 mbar,16 km
930,2024-02-10,10:00,30 °C,Passing clouds.,11 km/h,Wind blowing from 350° North to South,66%,1016 mbar,
926,2024-02-10,6:00,28 °C,Clear.,7 km/h,Wind blowing from 330° North-northwest to South-southeast,79%,1015 mbar,16 km
927,2024-02-10,7:00,27 °C,Passing clouds.,9 km/h,Wind blowing from 310° Northwest to Southeast,74%,1015 mbar,
928,2024-02-10,8:00,29 °C,Passing clouds.,7 km/h,Wind blowing from 330° North-northwest to South-southeast,62%,1016 mbar,
929,2024-02-10,9:00,30 °C,Passing clouds.,11 km/h,Wind blowing from 350° North to South,62%,1016 mbar,
925,2024-02-10,5:00,28 °C,Clear.,6 km/h,Wind blowing from 300° West-northwest to East-southeast,84%,1014 mbar,16 km
956,2024-02-11,13:00,32 °C,Passing clouds.,13 km/h,Wind blowing from 30° North-northeast to South-southwest,67%,1016 mbar,
965,2024-02-11,23:00,29 °C,Clear.,20 km/h,Wind blowing from 100° East to West,74%,1016 mbar,16 km
964,2024-02-11,22:00,30 °C,Clear.,24 km/h,Wind blowing from 110° East-southeast to West-northwest,66%,1016 mbar,16 km
963,2024-02-11,20:00,31 °C,Clear.,20 km/h,Wind blowing from 100° East to West,62%,1015 mbar,16 km
962,2024-02-11,19:00,33 °C,Passing clouds.,20 km/h,Wind blowing from 90° East to West,46%,1015 mbar,
961,2024-02-11,18:00,33 °C,Passing clouds.,13 km/h,Wind blowing from 70° East-northeast to West-southwest,52%,1014 mbar,
960,2024-02-11,17:00,34 °C,Passing clouds.,11 km/h,Wind blowing from 40° Northeast to Southwest,49%,1014 mbar,
959,2024-02-11,16:00,34 °C,Passing clouds.,13 km/h,Wind blowing from 30° North-northeast to South-southwest,53%,1015 mbar,
958,2024-02-11,15:00,33 °C,Passing clouds.,15 km/h,Wind blowing from 30° North-northeast to South-southwest,63%,1015 mbar,
957,2024-02-11,14:00,33 °C,Passing clouds.,13 km/h,Wind blowing from 30° North-northeast to South-southwest,63%,1016 mbar,
955,2024-02-11,12:00,32 °C,Passing clouds.,13 km/h,Wind blowing from 10° North to South,59%,1016 mbar,
954,2024-02-11,11:00,32 °C,Passing clouds.,13 km/h,Wind blowing from 350° North to South,63%,1016 mbar,
953,2024-02-11,10:00,30 °C,Passing clouds.,11 km/h,Wind blowing from 350° North to South,66%,1016 mbar,
944,2024-02-11,1:00,29 °C,Clear.,4 km/h,Wind blowing from 70° East-northeast to West-southwest,66%,1014 mbar,16 km
945,2024-02-11,2:00,29 °C,Clear.,4 km/h,Wind blowing from 0° North to South,70%,1014 mbar,16 km
946,2024-02-11,3:00,29 °C,Clear.,4 km/h,Wind blowing from 0° North to South,74%,1014 mbar,16 km
947,2024-02-11,4:00,28 °C,Clear.,2 km/h,Wind blowing from 0° North to South,74%,1014 mbar,16 km
943,2024-02-11,"0:00jue, 1 de feb",29 °C,Clear.,4 km/h,Wind blowing from 0° North to South,66%,1014 mbar,16 km
949,2024-02-11,6:00,28 °C,Clear.,7 km/h,Wind blowing from 330° North-northwest to South-southeast,79%,1015 mbar,16 km
950,2024-02-11,7:00,27 °C,Passing clouds.,9 km/h,Wind blowing from 310° Northwest to Southeast,74%,1015 mbar,
951,2024-02-11,8:00,29 °C,Passing clouds.,7 km/h,Wind blowing from 330° North-northwest to South-southeast,62%,1016 mbar,
952,2024-02-11,9:00,30 °C,Passing clouds.,11 km/h,Wind blowing from 350° North to South,62%,1016 mbar,
948,2024-02-11,5:00,28 °C,Clear.,6 km/h,Wind blowing from 300° West-northwest to East-southeast,84%,1014 mbar,16 km
979,2024-02-12,13:00,32 °C,Passing clouds.,13 km/h,Wind blowing from 30° North-northeast to South-southwest,67%,1016 mbar,
988,2024-02-12,23:00,29 °C,Clear.,20 km/h,Wind blowing from 100° East to West,74%,1016 mbar,16 km
987,2024-02-12,22:00,30 °C,Clear.,24 km/h,Wind blowing from 110° East-southeast to West-northwest,66%,1016 mbar,16 km
986,2024-02-12,20:00,31 °C,Clear.,20 km/h,Wind blowing from 100° East to West,62%,1015 mbar,16 km
985,2024-02-12,19:00,33 °C,Passing clouds.,20 km/h,Wind blowing from 90° East to West,46%,1015 mbar,
984,2024-02-12,18:00,33 °C,Passing clouds.,13 km/h,Wind blowing from 70° East-northeast to West-southwest,52%,1014 mbar,
983,2024-02-12,17:00,34 °C,Passing clouds.,11 km/h,Wind blowing from 40° Northeast to Southwest,49%,1014 mbar,
982,2024-02-12,16:00,34 °C,Passing clouds.,13 km/h,Wind blowing from 30° North-northeast to South-southwest,53%,1015 mbar,
981,2024-02-12,15:00,33 °C,Passing clouds.,15 km/h,Wind blowing from 30° North-northeast to South-southwest,63%,1015 mbar,
980,2024-02-12,14:00,33 °C,Passing clouds.,13 km/h,Wind blowing from 30° North-northeast to South-southwest,63%,1016 mbar,
978,2024-02-12,12:00,32 °C,Passing clouds.,13 km/h,Wind blowing from 10° North to South,59%,1016 mbar,
966,2024-02-12,"0:00jue, 1 de feb",29 °C,Clear.,4 km/h,Wind blowing from 0° North to South,66%,1014 mbar,16 km
976,2024-02-12,10:00,30 °C,Passing clouds.,11 km/h,Wind blowing from 350° North to South,66%,1016 mbar,
975,2024-02-12,9:00,30 °C,Passing clouds.,11 km/h,Wind blowing from 350° North to South,62%,1016 mbar,
974,2024-02-12,8:00,29 °C,Passing clouds.,7 km/h,Wind blowing from 330° North-northwest to South-southeast,62%,1016 mbar,
973,2024-02-12,7:00,27 °C,Passing clouds.,9 km/h,Wind blowing from 310° Northwest to Southeast,74%,1015 mbar,
972,2024-02-12,6:00,28 °C,Clear.,7 km/h,Wind blowing from 330° North-northwest to South-southeast,79%,1015 mbar,16 km
971,2024-02-12,5:00,28 °C,Clear.,6 km/h,Wind blowing from 300° West-northwest to East-southeast,84%,1014 mbar,16 km
970,2024-02-12,4:00,28 °C,Clear.,2 km/h,Wind blowing from 0° North to South,74%,1014 mbar,16 km
969,2024-02-12,3:00,29 °C,Clear.,4 km/h,Wind blowing from 0° North to South,74%,1014 mbar,16 km
968,2024-02-12,2:00,29 °C,Clear.,4 km/h,Wind blowing from 0° North to South,70%,1014 mbar,16 km
967,2024-02-12,1:00,29 °C,Clear.,4 km/h,Wind blowing from 70° East-northeast to West-southwest,66%,1014 mbar,16 km
977,2024-02-12,11:00,32 °C,Passing clouds.,13 km/h,Wind blowing from 350° North to South,63%,1016 mbar,
1002,2024-02-13,13:00,32 °C,Passing clouds.,13 km/h,Wind blowing from 30° North-northeast to South-southwest,67%,1016 mbar,
1003,2024-02-13,14:00,33 °C,Passing clouds.,13 km/h,Wind blowing from 30° North-northeast to South-southwest,63%,1016 mbar,
1004,2024-02-13,15:00,33 °C,Passing clouds.,15 km/h,Wind blowing from 30° North-northeast to South-southwest,63%,1015 mbar,
1005,2024-02-13,16:00,34 °C,Passing clouds.,13 km/h,Wind blowing from 30° North-northeast to South-southwest,53%,1015 mbar,
1011,2024-02-13,23:00,29 °C,Clear.,20 km/h,Wind blowing from 100° East to West,74%,1016 mbar,16 km
1007,2024-02-13,18:00,33 °C,Passing clouds.,13 km/h,Wind blowing from 70° East-northeast to West-southwest,52%,1014 mbar,
1008,2024-02-13,19:00,33 °C,Passing clouds.,20 km/h,Wind blowing from 90° East to West,46%,1015 mbar,
1009,2024-02-13,20:00,31 °C,Clear.,20 km/h,Wind blowing from 100° East to West,62%,1015 mbar,16 km
1010,2024-02-13,22:00,30 °C,Clear.,24 km/h,Wind blowing from 110° East-southeast to West-northwest,66%,1016 mbar,16 km
1006,2024-02-13,17:00,34 °C,Passing clouds.,11 km/h,Wind blowing from 40° Northeast to Southwest,49%,1014 mbar,
1001,2024-02-13,12:00,32 °C,Passing clouds.,13 km/h,Wind blowing from 10° North to South,59%,1016 mbar,
1000,2024-02-13,11:00,32 °C,Passing clouds.,13 km/h,Wind blowing from 350° North to South,63%,1016 mbar,
998,2024-02-13,9:00,30 °C,Passing clouds.,11 km/h,Wind blowing from 350° North to South,62%,1016 mbar,
989,2024-02-13,"0:00jue, 1 de feb",29 °C,Clear.,4 km/h,Wind blowing from 0° North to South,66%,1014 mbar,16 km
990,2024-02-13,1:00,29 °C,Clear.,4 km/h,Wind blowing from 70° East-northeast to West-southwest,66%,1014 mbar,16 km
991,2024-02-13,2:00,29 °C,Clear.,4 km/h,Wind blowing from 0° North to South,70%,1014 mbar,16 km
992,2024-02-13,3:00,29 °C,Clear.,4 km/h,Wind blowing from 0° North to South,74%,1014 mbar,16 km
999,2024-02-13,10:00,30 °C,Passing clouds.,11 km/h,Wind blowing from 350° North to South,66%,1016 mbar,
994,2024-02-13,5:00,28 °C,Clear.,6 km/h,Wind blowing from 300° West-northwest to East-southeast,84%,1014 mbar,16 km
995,2024-02-13,6:00,28 °C,Clear.,7 km/h,Wind blowing from 330° North-northwest to South-southeast,79%,1015 mbar,16 km
996,2024-02-13,7:00,27 °C,Passing clouds.,9 km/h,Wind blowing from 310° Northwest to Southeast,74%,1015 mbar,
997,2024-02-13,8:00,29 °C,Passing clouds.,7 km/h,Wind blowing from 330° North-northwest to South-southeast,62%,1016 mbar,
993,2024-02-13,4:00,28 °C,Clear.,2 km/h,Wind blowing from 0° North to South,74%,1014 mbar,16 km
1034,2024-02-14,23:00,29 °C,Clear.,20 km/h,Wind blowing from 100° East to West,74%,1016 mbar,16 km
1033,2024-02-14,22:00,30 °C,Clear.,24 km/h,Wind blowing from 110° East-southeast to West-northwest,66%,1016 mbar,16 km
1032,2024-02-14,20:00,31 °C,Clear.,20 km/h,Wind blowing from 100° East to West,62%,1015 mbar,16 km
1031,2024-02-14,19:00,33 °C,Passing clouds.,20 km/h,Wind blowing from 90° East to West,46%,1015 mbar,
1030,2024-02-14,18:00,33 °C,Passing clouds.,13 km/h,Wind blowing from 70° East-northeast to West-southwest,52%,1014 mbar,
1029,2024-02-14,17:00,34 °C,Passing clouds.,11 km/h,Wind blowing from 40° Northeast to Southwest,49%,1014 mbar,
1028,2024-02-14,16:00,34 °C,Passing clouds.,13 km/h,Wind blowing from 30° North-northeast to South-southwest,53%,1015 mbar,
1026,2024-02-14,14:00,33 °C,Passing clouds.,13 km/h,Wind blowing from 30° North-northeast to South-southwest,63%,1016 mbar,
1025,2024-02-14,13:00,32 °C,Passing clouds.,13 km/h,Wind blowing from 30° North-northeast to South-southwest,67%,1016 mbar,
1024,2024-02-14,12:00,32 °C,Passing clouds.,13 km/h,Wind blowing from 10° North to South,59%,1016 mbar,
1027,2024-02-14,15:00,33 °C,Passing clouds.,15 km/h,Wind blowing from 30° North-northeast to South-southwest,63%,1015 mbar,
1022,2024-02-14,10:00,30 °C,Passing clouds.,11 km/h,Wind blowing from 350° North to South,66%,1016 mbar,
1021,2024-02-14,9:00,30 °C,Passing clouds.,11 km/h,Wind blowing from 350° North to South,62%,1016 mbar,
1020,2024-02-14,8:00,29 °C,Passing clouds.,7 km/h,Wind blowing from 330° North-northwest to South-southeast,62%,1016 mbar,
1019,2024-02-14,7:00,27 °C,Passing clouds.,9 km/h,Wind blowing from 310° Northwest to Southeast,74%,1015 mbar,
1018,2024-02-14,6:00,28 °C,Clear.,7 km/h,Wind blowing from 330° North-northwest to South-southeast,79%,1015 mbar,16 km
1017,2024-02-14,5:00,28 °C,Clear.,6 km/h,Wind blowing from 300° West-northwest to East-southeast,84%,1014 mbar,16 km
1016,2024-02-14,4:00,28 °C,Clear.,2 km/h,Wind blowing from 0° North to South,74%,1014 mbar,16 km
1015,2024-02-14,3:00,29 °C,Clear.,4 km/h,Wind blowing from 0° North to South,74%,1014 mbar,16 km
1014,2024-02-14,2:00,29 °C,Clear.,4 km/h,Wind blowing from 0° North to South,70%,1014 mbar,16 km
1013,2024-02-14,1:00,29 °C,Clear.,4 km/h,Wind blowing from 70° East-northeast to West-southwest,66%,1014 mbar,16 km
1023,2024-02-14,11:00,32 °C,Passing clouds.,13 km/h,Wind blowing from 350° North to South,63%,1016 mbar,
1012,2024-02-14,"0:00jue, 1 de feb",29 °C,Clear.,4 km/h,Wind blowing from 0° North to South,66%,1014 mbar,16 km
1049,2024-02-15,14:00,33 °C,Passing clouds.,13 km/h,Wind blowing from 30° North-northeast to South-southwest,63%,1016 mbar,
1050,2024-02-15,15:00,33 °C,Passing clouds.,15 km/h,Wind blowing from 30° North-northeast to South-southwest,63%,1015 mbar,
1051,2024-02-15,16:00,34 °C,Passing clouds.,13 km/h,Wind blowing from 30° North-northeast to South-southwest,53%,1015 mbar,
1052,2024-02-15,17:00,34 °C,Passing clouds.,11 km/h,Wind blowing from 40° Northeast to Southwest,49%,1014 mbar,
1057,2024-02-15,23:00,29 °C,Clear.,20 km/h,Wind blowing from 100° East to West,74%,1016 mbar,16 km
1054,2024-02-15,19:00,33 °C,Passing clouds.,20 km/h,Wind blowing from 90° East to West,46%,1015 mbar,
1055,2024-02-15,20:00,31 °C,Clear.,20 km/h,Wind blowing from 100° East to West,62%,1015 mbar,16 km
1056,2024-02-15,22:00,30 °C,Clear.,24 km/h,Wind blowing from 110° East-southeast to West-northwest,66%,1016 mbar,16 km
1048,2024-02-15,13:00,32 °C,Passing clouds.,13 km/h,Wind blowing from 30° North-northeast to South-southwest,67%,1016 mbar,
1053,2024-02-15,18:00,33 °C,Passing clouds.,13 km/h,Wind blowing from 70° East-northeast to West-southwest,52%,1014 mbar,
1047,2024-02-15,12:00,32 °C,Passing clouds.,13 km/h,Wind blowing from 10° North to South,59%,1016 mbar,
